smiles,tc,dc
CC1(C)CC[C@@H]2[C@@H](C1)CCCC2,7.111e+02,2.767e-01
C[C@@H]1[C@H](C)[C@H](C)[C@H]([C@@H]([C@H]1C)C)C,7.097e+02,2.575e-01
CC(CC(C(C)(C)C)(C)C)(C)C,6.634e+02,2.516e-01
CCCC(C1CCCCC1)CC,6.887e+02,2.555e-01
C[C@@H]1CCCC2C1[C@H](C)CCC2,7.324e+02,2.789e-01
CC(CCC1CCCCC1C)C,6.894e+02,2.532e-01
CCC(CCC1CCCCC1)C,6.872e+02,2.501e-01
CCCC(CCC(CCC)C)C,6.532e+02,2.312e-01
CC(C(C(C)C)C)C(C(C)C)C,6.723e+02,2.426e-01
CCCC(C1CCCC1)CCC,6.897e+02,2.511e-01
CCC(C1CCCCCCC1)C,7.176e+02,2.592e-01
CCCCCCCC[C@H](CC)C,6.590e+02,2.307e-01
CCCCCC(CCCC)(CC)C,6.672e+02,2.375e-01
CCCCCCCCC(CC)CC,6.754e+02,2.312e-01
C[C@H]1C[C@@H](C)[C@H]2[C@H](C1)CC[C@H](C2)C,7.370e+02,2.687e-01
CCC(C1CCCCC1)(CC)CC,7.259e+02,2.628e-01
C[C@H]1C[C@H](C)[C@@H]2[C@H](C1)CC[C@H](C2)C,7.352e+02,2.702e-01
C[C@@H]1C[C@@H](C)[C@@H]2[C@@H](C1)CC[C@H](C2)C,7.395e+02,2.708e-01
CC(C(C1CCCCC1)C(C)C)C,7.166e+02,2.595e-01
CC(CCCCCCCC(C)C)C,6.747e+02,2.284e-01
CCCCCC(CCCCC)CC,6.695e+02,2.310e-01
CCCCC(CC(CC(C)C)C)C,6.666e+02,2.346e-01
CCC(CCCCCC(CC)C)C,6.731e+02,2.307e-01
C[C@@H]1C[C@@H](C)[C@H]2[C@H](C1)CC[C@@H](C2)C,7.325e+02,2.700e-01
C[C@H]1CC[C@H]2[C@H](C1)C[C@@H]([C@H](C2)C)C,7.467e+02,2.633e-01
CCCCCCCCCC(C)(C)C,6.709e+02,2.303e-01
C[C@@H]1C[C@@H](C)[C@@H]2[C@H](C1)CC[C@H](C2)C,7.387e+02,2.701e-01
CCCC1CCCCC1(CC)CC,7.107e+02,2.627e-01
CCCCCCC(CC)(CC)CC,6.792e+02,2.394e-01
CCC(CC(CC(C)C)(CC)C)C,6.721e+02,2.444e-01
CCC(CCC(CC(CC)C)C)C,6.703e+02,2.326e-01
