SMILES T dliq dgas st tc redT
CCCC(CC)C 370 0.6109 0.00496 12.04 530.5 0.6974552309142319
CCCC(CC)C 391 0.5875 0.008859 10.57 530.5 0.7370405278039586
CCCC(CC)C 413 0.5643 0.013 8.413 530.5 0.7785108388312912
CCCC(CC)C 434 0.5388 0.02097 6.643 530.5 0.8180961357210179
CCCC(CC)C 455 0.508 0.03415 5.229 530.5 0.8576814326107446
CCC[C@H](CC)C 179 0.7869 0.002616 33.71 533.2 0.3357089272318079
CCC[C@H](CC)C 265 0.7107 7.834e-05 23.24 533.2 0.4969992498124531
CCC[C@H](CC)C 330 0.6503 0.0014759999999999999 16.42 533.2 0.6189047261815454
CCC[C@H](CC)C 374 0.6068 0.004632 11.88 533.2 0.7014253563390848
CCC[C@H](CC)C 395 0.5844 0.007975 10.42 533.2 0.7408102025506376
CCC[C@H](CC)C 417 0.5578 0.01516 8.082 533.2 0.7820705176294073
CCC[C@H](CC)C 438 0.5328 0.0222 6.53 533.2 0.8214553638409602
CCCC(C)(C)C 174 0.7905 0.0 33.3 517.1 0.3364919744730226
CCCC(C)(C)C 256 0.7151 6.969e-05 23.18 517.1 0.49506865209824014
CCCC(C)(C)C 318 0.6579 0.0016539999999999999 16.83 517.1 0.6149680912782827
CCCC(C)(C)C 360 0.6152 0.005631000000000001 12.2 517.1 0.6961902920131502
CCCC(C)(C)C 380 0.5931 0.01048 10.21 517.1 0.7348675304583252
CCCC(C)(C)C 401 0.5697 0.0145 8.316 517.1 0.775478630825759
CCCC(C)(C)C 421 0.5455 0.021330000000000002 6.325 517.1 0.814155869270934
CCCC(C)(C)C 442 0.5149 0.03816 4.706 517.1 0.8547669696383677
CCC(C(C)C)C 190 0.7785 2.912e-06 32.94 532.1 0.35707573764330014
CCC(C(C)C)C 272 0.7053 2.104e-05 21.95 532.1 0.5111821086261981
CCC(C(C)C)C 333 0.6502 0.001232 16.2 532.1 0.6258222138695734
CCC(C(C)C)C 374 0.6095 0.006214 12.18 532.1 0.7028753993610223
CCC(C(C)C)C 395 0.5879 0.009779000000000001 10.51 532.1 0.742341665100545
