smiles,T,P,Solubility
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,14.07,0.2559
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,16.29,0.2559
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,18.64,0.2559
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,21.11,0.2559
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,23.69,0.2559
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",285.83,9.09,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.4,10.63,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",300.87,12.29,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",308.37,13.94,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",315.93,15.84,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.44,17.76,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",330.92,19.88,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",338.4,22.08,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",345.89,24.38,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.4,26.78,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",360.83,29.23,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",368.36,31.78,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.15,10.57,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.15,11.63,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,15.13,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,17.73,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,20.53,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,23.51,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,26.67,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,30.0,0.303
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",278.12,13.93,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",285.64,16.38,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.16,19.11,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",300.68,22.13,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",308.2,25.33,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",315.66,28.68,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.14,32.36,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",330.65,36.31,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",338.19,40.46,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",345.72,44.81,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.19,49.26,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",360.79,54.07,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",368.2,58.87,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.15,19.11,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.15,21.06,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,27.56,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,32.41,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,37.66,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,43.28,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,49.26,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,55.57,0.4213
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",278.3,20.92,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",280.9,22.2,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",288.33,26.2,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",295.88,30.8,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",300.83,34.07,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",308.37,39.47,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",315.92,45.36,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.42,51.71,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",330.92,58.5,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",338.32,65.55,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",345.9,73.3,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.39,81.25,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",360.87,89.55,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",368.4,98.15,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.15,29.05,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.15,32.24,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,43.16,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,51.49,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,60.6,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,70.44,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,80.96,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,92.11,0.5505
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",278.13,27.75,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",285.64,33.3,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.17,39.65,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",300.69,46.8,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",308.25,55.05,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",315.71,64.04,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.19,74.09,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",330.64,84.99,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",338.15,96.99,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",345.69,109.99,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.18,123.69,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",360.66,138.19,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.15,39.53,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.15,44.25,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,60.91,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,74.09,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,88.92,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,105.42,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,123.57,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,143.37,0.6485
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,4.2,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,5.8,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,6.7,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,8.0,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,9.6,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,10.9,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,12.4,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,13.8,0.165
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,9.3,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,11.6,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,13.7,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,16.1,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,18.7,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,20.2,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,22.4,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,25.4,0.265
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,13.2,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,17.8,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,21.4,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,24.4,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,28.0,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,30.7,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,35.2,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,37.8,0.338
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,19.7,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,24.6,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,30.4,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,35.6,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,39.7,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,44.1,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,47.8,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,52.4,0.423
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,30.3,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,41.5,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,50.6,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,60.7,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,69.9,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,79.0,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,87.2,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,96.3,0.545
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,37.7,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,55.4,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,71.9,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,84.8,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,99.0,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,114.2,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,127.1,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,143.3,0.639
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,57.0,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,82.4,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,105.2,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,134.7,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,161.8,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,193.7,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,214.4,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,242.9,0.721
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,114.9,0.824
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,182.7,0.824
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,226.3,0.824
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,278.0,0.824
"[""C(CCCCC)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,312.7,0.824
